,,,Overall,,,SNP,,,INDEL,,,INS,,,DEL,,,,,,
Tool,Sample,Coverage,Precision,Recall,F1-Score,Precision,Recall,F1-Score,Precision,Recall,F1-Score,Precision,Recall,F1-Score,Precision,Recall,F1-Score,Mendelian violation,de novo FN,de novo TP,de novo FP
Clair3 ,HG002,10x,0.940452,0.938213,0.939331,0.969131,0.980799,0.97493,0.739934,0.668266,0.702276,0.756231,0.677503,0.714705,0.725032,0.659706,0.690828,40690,6,33,3480
Clair3 ,HG003,10x,0.937854,0.936186,0.937019,0.965213,0.977417,0.971276,0.738085,0.663938,0.699051,0.764579,0.676734,0.71798,0.714062,0.651992,0.681617,,,,
Clair3,HG004,10x,0.937865,0.931885,0.934866,0.96566,0.974708,0.970163,0.735519,0.65285,0.691723,0.763079,0.660592,0.708147,0.711174,0.645735,0.676877,,,,
Clair3,HG002,20x,0.980687,0.963853,0.972197,0.997157,0.997337,0.997247,0.8631,0.751599,0.8035,0.879622,0.75785,0.814208,0.848092,0.745806,0.793667,31444,4,35,783
Clair3,HG003,20x,0.982345,0.96487,0.973529,0.997278,0.996823,0.99705,0.870892,0.753881,0.808173,0.887658,0.763445,0.820879,0.855419,0.744952,0.796373,,,,
Clair3,HG004,20x,0.98175,0.963197,0.972385,0.997431,0.995927,0.996678,0.866523,0.749932,0.804023,0.885603,0.757024,0.816281,0.849237,0.743415,0.792811,,,,
Clair3,HG002,30x,0.986713,0.969106,0.977831,0.998333,0.998136,0.998234,0.903617,0.785092,0.840195,0.916056,0.790728,0.848791,0.892198,0.77987,0.832261,28473,4,35,425
Clair3,HG003,30x,0.987617,0.970351,0.978908,0.998731,0.997849,0.99829,0.9053,0.788785,0.843036,0.922467,0.79735,0.855357,0.889497,0.78079,0.831606,,,,
Clair3,HG004,30x,0.987425,0.969208,0.978232,0.998786,0.997712,0.998249,0.904143,0.783474,0.839495,0.919462,0.791951,0.850956,0.890067,0.775685,0.828949,,,,
Clair3,HG002,40x,0.989017,0.971721,0.980293,0.99857,0.998038,0.998304,0.921147,0.804904,0.859111,0.930596,0.805689,0.86365,0.912505,0.804177,0.854923,27923,3,36,312
Clair3,HG003,40x,0.989543,0.972443,0.980918,0.998475,0.997578,0.998026,0.923651,0.806473,0.861094,0.931223,0.809821,0.866289,0.916616,0.803347,0.856252,,,,
Clair3,HG004,40x,0.989498,0.972014,0.980678,0.999093,0.998033,0.998563,0.919704,0.802473,0.857098,0.935408,0.806188,0.866004,0.905426,0.799058,0.848923,,,,
Clair3,HG002,50x,0.98977,0.973743,0.981691,0.998767,0.998711,0.998739,0.926408,0.815476,0.86741,0.935331,0.815478,0.871302,0.918256,0.815474,0.863818,29849,4,35,262
Clair3,HG003,50x,0.990592,0.974113,0.982283,0.998475,0.997578,0.998026,0.932832,0.819174,0.872316,0.938475,0.821902,0.876329,0.927577,0.816627,0.868573,,,,
Clair3,HG004,50x,0.990583,0.974675,0.982564,0.999247,0.998968,0.999107,0.928141,0.81638,0.868681,0.939891,0.820046,0.875888,0.917373,0.813012,0.862046,,,,
Clair3,HG002,60x,0.990103,0.975413,0.982703,0.998837,0.998823,0.99883,0.929254,0.827026,0.875165,0.938239,0.828962,0.880222,0.921003,0.825231,0.870491,30661,3,36,233
Clair3,HG003,60x,0.990506,0.975412,0.982901,0.99839,0.997849,0.998119,0.933271,0.827265,0.877077,0.939048,0.827747,0.879892,0.927932,0.826815,0.87446,,,,
Clair3,HG004,60x,0.990802,0.976053,0.983372,0.999219,0.999163,0.999191,0.930643,0.82547,0.874907,0.937123,0.8265,0.878342,0.924694,0.824525,0.871741,,,,
Clair3,HG002,70x,0.990452,0.976333,0.983342,0.998949,0.998697,0.998823,0.931686,0.834577,0.880462,0.937906,0.831733,0.881634,0.926001,0.837213,0.879372,30448,3,36,255
Clair3,HG003,70x,0.991648,0.976699,0.984117,0.998817,0.998361,0.998589,0.939663,0.833663,0.883495,0.945229,0.837295,0.887994,0.934466,0.830271,0.879292,,,,
Clair3,HG004,70x,0.991436,0.976404,0.983862,0.999331,0.999177,0.999254,0.934898,0.828016,0.878217,0.940969,0.831055,0.882603,0.929285,0.825222,0.874168,,,,
PEPPER,HG002,10x,0.971611,0.89209,0.930154,0.983223,0.941892,0.962114,0.86728,0.576404,0.692539,0.866808,0.595124,0.705721,0.867743,0.559055,0.680007,27254,10,29,2093
PEPPER,HG003,10x,0.972295,0.889956,0.929305,0.983215,0.938732,0.960459,0.86889,0.56788,0.686854,0.874469,0.592557,0.706426,0.863342,0.544843,0.668074,,,,
PEPPER,HG004,10x,0.973092,0.884899,0.926902,0.984447,0.934796,0.958979,0.866317,0.559767,0.680094,0.875315,0.581815,0.699006,0.857571,0.539508,0.662334,,,,
PEPPER,HG002,20x,0.979205,0.958332,0.968656,0.993531,0.9963,0.994914,0.870784,0.717662,0.786842,0.877384,0.717215,0.789255,0.864767,0.718076,0.784624,22672,4,35,553
PEPPER,HG003,20x,0.983413,0.95867,0.970884,0.996876,0.995426,0.996151,0.877112,0.715966,0.788389,0.879021,0.718823,0.790891,0.875327,0.713298,0.78605,,,,
PEPPER,HG004,20x,0.982675,0.957078,0.969707,0.996743,0.994169,0.995454,0.873481,0.71539,0.78657,0.885695,0.724184,0.796838,0.862234,0.707309,0.777125,,,,
PEPPER,HG002,30x,0.982995,0.966806,0.974834,0.997663,0.998655,0.998158,0.878139,0.764925,0.817632,0.887764,0.762837,0.820573,0.869458,0.766861,0.814943,22311,4,35,320
PEPPER,HG003,30x,0.985554,0.968409,0.976906,0.998689,0.998475,0.998582,0.88771,0.769875,0.824604,0.890214,0.768511,0.824898,0.885393,0.771148,0.824331,,,,
PEPPER,HG004,30x,0.985083,0.96685,0.975881,0.998758,0.998298,0.998528,0.884033,0.761931,0.818453,0.892155,0.764427,0.823367,0.876626,0.759637,0.813949,,,,
PEPPER,HG002,40x,0.9842,0.970353,0.977228,0.99839,0.999061,0.998725,0.884984,0.78838,0.833893,0.893573,0.783894,0.835148,0.877255,0.792537,0.832747,23024,4,35,266
PEPPER,HG003,40x,0.986007,0.972121,0.979015,0.998775,0.999088,0.998932,0.893278,0.794054,0.840749,0.894634,0.788581,0.838267,0.892036,0.799163,0.84305,,,,
PEPPER,HG004,40x,0.985811,0.971034,0.978367,0.999219,0.999107,0.999163,0.88939,0.78811,0.835693,0.898548,0.791002,0.841352,0.881057,0.785453,0.830513,,,,
PEPPER,HG002,50x,0.984882,0.973053,0.978932,0.998768,0.999327,0.999047,0.88953,0.806503,0.845984,0.891252,0.797931,0.842014,0.887974,0.814447,0.849623,24301,4,35,231
PEPPER,HG003,50x,0.986079,0.973878,0.979941,0.998918,0.999088,0.999003,0.894168,0.807414,0.848579,0.899231,0.803196,0.848505,0.889539,0.811352,0.848648,,,,
PEPPER,HG004,50x,0.9862,0.97378,0.979951,0.999331,0.999302,0.999317,0.893598,0.807472,0.848355,0.898718,0.805809,0.849731,0.888951,0.809001,0.847094,,,,
PEPPER,HG002,60x,0.985669,0.974917,0.980263,0.998964,0.999355,0.999159,0.895308,0.820007,0.856005,0.896994,0.811784,0.852265,0.893783,0.827628,0.859434,24736,3,36,218
PEPPER,HG003,60x,0.986685,0.975784,0.981204,0.998932,0.999131,0.999031,0.899919,0.82162,0.858989,0.902163,0.820148,0.859203,0.897844,0.822994,0.858791,,,,
PEPPER,HG004,60x,0.986698,0.975703,0.98117,0.99947,0.999386,0.999428,0.897807,0.82138,0.857894,0.89717,0.81549,0.854382,0.898387,0.826792,0.861104,,,,
PEPPER,HG002,70x,0.986174,0.97574,0.980929,0.99909,0.999453,0.999272,0.898652,0.825426,0.860484,0.901961,0.81751,0.857662,0.895668,0.832763,0.863071,24813,3,36,191
PEPPER,HG003,70x,0.987816,0.977182,0.98247,0.998946,0.999102,0.999024,0.909392,0.83244,0.869216,0.90784,0.828332,0.866265,0.910832,0.836274,0.871962,,,,
PEPPER,HG004,70x,0.986581,0.976029,0.981277,0.999414,0.999456,0.999435,0.897414,0.82338,0.858804,0.895271,0.817388,0.854559,0.89937,0.828885,0.86269,,,,
Clair3-Trio,HG002,10x,0.980675,0.948321,0.964227,0.99494,0.986139,0.99052,0.872123,0.7086,0.781903,0.862771,0.723125,0.7868,0.88136,0.695139,0.777251,7012,12,27,471
Clair3-Trio,HG003,10x,0.978142,0.941148,0.959289,0.990788,0.980451,0.985592,0.874052,0.681626,0.765938,0.869183,0.700701,0.775902,0.878903,0.663817,0.756366,,,,
Clair3-Trio,HG004,10x,0.980219,0.93815,0.958723,0.993009,0.978363,0.985632,0.875794,0.67612,0.763112,0.87684,0.696849,0.776551,0.874771,0.657073,0.750453,,,,
Clair3-Trio,HG002,20x,0.986295,0.969591,0.977872,0.99878,0.997617,0.998198,0.89838,0.791933,0.841805,0.892516,0.810676,0.84963,0.904155,0.774564,0.834357,6264,7,32,192
Clair3-Trio,HG003,20x,0.986745,0.967567,0.977062,0.997721,0.99772,0.997721,0.903303,0.768464,0.830445,0.895477,0.788581,0.838637,0.91114,0.749682,0.822563,,,,
Clair3-Trio,HG004,20x,0.987898,0.965568,0.976605,0.998756,0.995954,0.997353,0.90643,0.767567,0.831239,0.898097,0.785308,0.837924,0.914637,0.751265,0.82494,,,,
Clair3-Trio,HG002,30x,0.987684,0.97568,0.981645,0.998809,0.998851,0.99883,0.9117,0.828802,0.868277,0.90404,0.840044,0.870868,0.919133,0.818384,0.865838,5997,6,33,143
Clair3-Trio,HG003,30x,0.988297,0.973148,0.980664,0.99795,0.998518,0.998234,0.917399,0.805626,0.857887,0.90869,0.822486,0.863442,0.926042,0.789885,0.852562,,,,
Clair3-Trio,HG004,30x,0.988848,0.972449,0.98058,0.998912,0.998019,0.998465,0.91618,0.805836,0.857472,0.910503,0.820615,0.863225,0.921701,0.792255,0.85209,,,,
Clair3-Trio,HG002,40x,0.98806,0.977726,0.982866,0.998712,0.998949,0.99883,0.916258,0.843195,0.878209,0.908512,0.848356,0.877404,0.923674,0.838412,0.87898,6499,5,34,113
Clair3-Trio,HG003,40x,0.988994,0.976378,0.982645,0.998135,0.998846,0.998491,0.923376,0.828018,0.873101,0.915805,0.838075,0.875217,0.930763,0.818628,0.871102,,,,
Clair3-Trio,HG004,40x,0.989453,0.975606,0.98248,0.998996,0.998647,0.998821,0.921761,0.82547,0.870962,0.914526,0.838079,0.874635,0.928794,0.813885,0.867551,,,,
Clair3-Trio,HG002,50x,0.989128,0.980231,0.98466,0.99895,0.999131,0.99904,0.923829,0.86043,0.891003,0.917016,0.86498,0.890238,0.930326,0.856214,0.891732,6252,6,33,92
Clair3-Trio,HG003,50x,0.989641,0.977912,0.983742,0.998221,0.998817,0.998519,0.928593,0.839872,0.882007,0.924447,0.854053,0.887857,0.932652,0.826633,0.876448,,,,
Clair3-Trio,HG004,50x,0.989786,0.97736,0.983533,0.998996,0.998814,0.998905,0.925154,0.83756,0.879181,0.919625,0.84776,0.882231,0.930478,0.828188,0.876358,,,,
Clair3-Trio,HG002,60x,0.989377,0.980909,0.985125,0.998824,0.999187,0.999005,0.926686,0.86505,0.894808,0.92236,0.872183,0.89657,0.930815,0.858439,0.893163,6086,6,33,75
Clair3-Trio,HG003,60x,0.990049,0.979038,0.984513,0.998263,0.998817,0.99854,0.932006,0.848434,0.888258,0.929227,0.861458,0.89406,0.934709,0.836274,0.882756,,,,
Clair3-Trio,HG004,60x,0.990346,0.978908,0.984594,0.999205,0.998884,0.999045,0.928841,0.848741,0.886986,0.92399,0.856492,0.888962,0.933485,0.841619,0.885175,,,,
Clair3-Trio,HG002,70x,0.989609,0.981151,0.985362,0.999061,0.998963,0.999012,0.927157,0.868248,0.896736,0.92296,0.873846,0.897732,0.931153,0.863061,0.895815,5842,6,33,81
Clair3-Trio,HG003,70x,0.990534,0.979434,0.984953,0.998491,0.998746,0.998618,0.934405,0.851915,0.891255,0.931287,0.866524,0.897739,0.93745,0.838275,0.885093,,,,
Clair3-Trio,HG004,70x,0.990252,0.979113,0.984651,0.999122,0.998926,0.999024,0.928765,0.850014,0.887646,0.921073,0.856112,0.887406,0.93615,0.84441,0.887916,,,,
